beta,rho_mean,rho_std
0.0,0.0,0.0
0.01,0.0,0.0
0.02,0.0041532999999999995,0.012158380817773394
0.03,0.1472808,0.009435643028432136
0.04,0.2433303,0.007267125766766383
0.05,0.32525919999999997,0.005657398285431217
0.06,0.3922475,0.005771364201815703
0.07,0.4476628,0.0048959804084575415
0.08,0.4912475,0.004622738014423921
0.09,0.5289469,0.004242460299166044
0.1,0.5602729000000001,0.004112343199442373
0.11,0.5868472,0.0030728374769909204
0.12,0.6094653999999999,0.003172851216177658
0.13,0.6292413,0.0035052154441631744
0.14,0.6467199000000001,0.002814745279772233
0.15,0.6618106,0.0028282170425906173
0.16,0.675022,0.0029092521375776235
0.17,0.6876831000000001,0.0025585764381780792
0.18,0.6980367,0.0026786634932368684
0.19,0.7084357000000001,0.0024041614983191023
0.2,0.7170324000000001,0.002446105525115387
0.21,0.7246225000000002,0.0017906118367753564
0.22,0.7322696000000001,0.0020062472031133222
0.23,0.7386632,0.001993754689022702
0.24,0.7447958000000001,0.0019004784555474454
0.25,0.7508029,0.001969024273593398
0.26,0.7559819,0.001945053569956376
0.27,0.7607262999999999,0.0020331255027666154
0.28,0.7652329,0.0017904542970989467
0.29,0.7693080000000001,0.0015654539277794102
0.3,0.7730713000000001,0.0020775238410184354
